,X,School.Name,Education.Sector,School.Type,School.No,School_No,newSchoolID
161,161,Mooroolbark College,Government,Secondary,0,8071,1349
162,162,Mooroopna Secondary College,Government,Secondary,0,8073,1350
163,163,Mordialloc College,Government,Secondary,0,8075,1351
168,168,Mount Eliza Secondary College,Government,Secondary,0,8102,1353
171,171,Mount Waverley Secondary College,Government,Secondary,0,8105,1354
135,135,MacRobertson Girls High School,Government,Secondary,0,8135,1356
175,175,Newcomb Secondary College,Government,Secondary,0,8151,1359
178,178,Northcote High School,Government,Secondary,0,8180,1360
183,183,Numurkah Secondary College,Government,Secondary,0,8190,1362
190,190,Parkdale Secondary College,Government,Secondary,0,8225,1367
191,191,Pascoe Vale Girls Secondary College,Government,Secondary,0,8227,1368
202,202,Princes Hill Secondary College,Government,Secondary,0,8245,1369
17,17,Bellarine Secondary College,Government,Secondary,0,8250,1370
203,203,Red Cliffs Secondary College,Government,Secondary,0,8260,1372
205,205,Ringwood Secondary College,Government,Secondary,0,8270,1373
207,207,Rosebud Secondary College,Government,Secondary,0,8290,1376
212,212,Rutherglen High School,Government,Secondary,0,8300,1378
216,216,Scoresby Secondary College,Government,Secondary,0,8307,1379
219,219,Shepparton High School,Government,Secondary,0,8320,1380
228,228,St Albans Secondary College,Government,Secondary,0,8330,1381
229,229,St Arnaud Secondary College,Government,Secondary,0,8335,1382
184,184,Oakwood School,Government,Secondary,0,8337,1383
237,237,Strathmore Secondary College,Government,Secondary,0,8345,1384
238,238,Sunbury College,Government,Secondary,0,8350,1385
243,243,Sydney Road Community School,Government,Secondary,0,8368,1386
255,255,Trafalgar High School,Government,Secondary,0,8395,1389
259,259,University High School,Government,Secondary,0,8405,1390
210,210,Roxburgh College,Government,Secondary,0,8407,1391
260,260,Upwey High School,Government,Secondary,0,8415,1393
261,261,Vermont Secondary College,Government,Secondary,0,8420,1394
266,266,Wanganui Park Secondary College,Government,Secondary,0,8422,1396
45,45,Carrum Downs Secondary College,Government,Secondary,0,8423,1397
267,267,Wangaratta High School,Government,Secondary,0,8425,1398
268,268,Wantirna College,Government,Secondary,0,8428,1399
270,270,Warrandyte High School,Government,Secondary,0,8437,1401
274,274,Werribee Secondary College,Government,Secondary,0,8465,1403
12,12,Bairnsdale Secondary College,Government,Secondary,0,8466,1404
276,276,Westall Secondary College,Government,Secondary,0,8470,1405
279,279,Wheelers Hill Secondary College,Government,Secondary,0,8474,1406
285,285,Wodonga Senior Secondary College,Government,Secondary,0,8480,1408
88,88,Glen Eira College,Government,Secondary,0,8704,1411
71,71,Emerald Secondary College,Government,Secondary,0,8707,1413
204,204,Reservoir High School,Government,Secondary,0,8708,1414
95,95,Hampton Park Secondary College,Government,Secondary,0,8709,1415
101,101,Hoppers Crossing Secondary College,Government,Secondary,0,8710,1416
110,110,Keilor Downs Secondary College,Government,Secondary,0,8715,1417
118,118,Kurnai College,Government,Secondary,0,8716,1418
119,119,Kurunjang Secondary College,Government,Secondary,0,8718,1419
67,67,Elisabeth Murdoch College,Government,Secondary,0,8722,1421
80,80,Forest Hill College,Government,Secondary,0,8724,1423
193,193,Patterson River Secondary College,Government,Secondary,0,8725,1424
230,230,St Helena Secondary College,Government,Secondary,0,8730,1425
209,209,Rowville Secondary College,Government,Secondary,0,8734,1427
286,286,Wonthaggi Secondary College,Government,Secondary,0,8736,1428
214,214,Sandringham College,Government,Secondary,0,8739,1429
78,78,Fitzroy High School,Government,Secondary,0,8742,1430
10,10,Ashwood High School,Government,Secondary,0,8743,1431
173,173,Mullauna Secondary College,Government,Secondary,0,8744,1432
125,125,Leongatha Secondary College,Government,Secondary,0,8745,1433
62,62,Diamond Valley College,Government,Secondary,0,8746,1434
93,93,Greensborough Secondary College,Government,Secondary,0,8750,1438
157,157,Mill Park Secondary College,Government,Secondary,0,8775,1440
250,250,The Grange P-12 College,Government,Pri/Sec,0,8783,1442
246,246,Taylors Lakes Secondary College,Government,Secondary,0,8787,1443
253,253,Thornbury High School,Government,Secondary,0,8797,1446
200,200,Portland Secondary College,Government,Secondary,0,8798,1447
57,57,Copperfield College,Government,Secondary,0,8799,1448
225,225,South Oakleigh Secondary College,Government,Secondary,0,8801,1450
241,241,Swan Hill College,Government,Secondary,0,8802,1451
165,165,Mornington Secondary College,Government,Secondary,0,8804,1453
73,73,Essendon East Keilor District College,Government,Secondary,0,8806,1454
33,33,Brunswick Secondary College,Government,Secondary,0,8807,1455
89,89,Glen Waverley Secondary College,Government,Secondary,0,8808,1456
158,158,Monterey Secondary College,Government,Secondary,0,8809,1457
272,272,Warrnambool College,Government,Secondary,0,8811,1458
263,263,Viewbank College,Government,Secondary,0,8812,1459
97,97,Heathmont College,Government,Secondary,0,8816,1463
102,102,Horsham College,Government,Secondary,0,8818,1464
146,146,Melbourne Girls College,Government,Secondary,0,8819,1465
247,247,Templestowe College,Government,Secondary,0,8823,1468
47,47,Castlemaine Secondary College,Government,Secondary,0,8824,1469
269,269,Warragul Regional College,Government,Secondary,0,8827,1470
141,141,McClelland Secondary College,Government,Secondary,0,8835,1477
79,79,Footscray City College,Government,Secondary,0,8836,1478
248,248,The Alpine School,Government,Secondary,0,8837,1479
174,174,Narre Warren South P-12 College,Government,Pri/Sec,0,8839,1481
123,123,Lara Secondary College,Government,Secondary,0,8841,1482
139,139,Maryborough Education Centre,Government,Pri/Sec,0,8845,1485
199,199,Point Cook Senior Secondary College,Government,Secondary,0,8847,1487
137,137,Manor Lakes P-12 College,Government,Pri/Sec,0,8848,1488
54,54,Coburg High School,Government,Secondary,0,8849,1489
284,284,Wodonga Middle Years College,Government,Pri/Sec,0,8851,1490
170,170,Mount Ridley P-12 College,Government,Pri/Sec,0,8853,1491
245,245,Tarneit Senior College,Government,Secondary,0,8854,1492
107,107,John Monash Science School,Government,Secondary,0,8856,1494
124,124,Laverton P-12 College,Government,Pri/Sec,0,8861,1498
103,103,Hume Central Secondary College,Government,Secondary,0,8862,1499
182,182,Nossal High School,Government,Secondary,0,8865,1501
240,240,Suzanne Cory High School,Government,Secondary,0,8866,1502
94,94,Hallam Senior Secondary College,Government,Secondary,0,8868,1504
81,81,Fountain Gate Secondary College,Government,Secondary,0,8870,1506
4,4,Alkira Secondary College,Government,Secondary,0,8874,1509
223,223,Somerville Secondary College,Government,Secondary,0,8875,1510
290,290,Yarrawonga College P-12,Government,Pri/Sec,0,8883,1512
218,218,Seymour College,Government,Pri/Sec,0,8884,1513
153,153,Merbein P-10 College,Government,Pri/Sec,0,8886,1514
2,2,Albert Park College,Government,Secondary,0,8889,1515
50,50,Charles La Trobe P-12 College,Government,Pri/Sec,0,8890,1516
262,262,Victoria University Secondary College,Government,Secondary,0,8891,1517
106,106,John Fawkner Secondary College,Government,Secondary,0,8894,1520
281,281,William Ruthven Secondary College,Government,Secondary,0,8895,1521
58,58,Cranbourne East Secondary College,Government,Secondary,0,8898,1523
197,197,Phoenix P-12 Community College,Government,Pri/Sec,0,8900,1525
180,180,Northern Bay P-12 College,Government,Pri/Sec,0,8901,1526
239,239,Surf Coast Secondary College,Government,Secondary,0,8903,1527
121,121,Lakeview Senior College,Government,Secondary,0,8910,1533
19,19,Benalla P-12 College,Government,Pri/Sec,0,8915,1538
213,213,Ruyton Girls' School,Independent,Pri/Sec,0,83,1553
48,48,Caulfield Grammar School,Independent,Pri/Sec,0,96,1554
235,235,St Michael's Grammar School,Independent,Pri/Sec,0,818,1671
77,77,Firbank Grammar School,Independent,Pri/Sec,0,879,1676
105,105,Ivanhoe Grammar School,Independent,Pri/Sec,0,1004,1697
234,234,St Leonard's College,Independent,Pri/Sec,0,1025,1702
130,130,Lowther Hall Anglican Grammar School,Independent,Pri/Sec,0,1117,1720
43,43,Carey Baptist Grammar School,Independent,Pri/Sec,0,1189,1736
150,150,Mentone Girls' Grammar School,Independent,Pri/Sec,0,1213,1744
38,38,Camberwell Grammar School,Independent,Pri/Sec,0,1258,1753
115,115,Kingswood College,Independent,Pri/Sec,0,1304,1769
252,252,The Peninsula School,Independent,Pri/Sec,0,1610,1899
23,23,Bialik College,Independent,Pri/Sec,0,1626,1912
231,231,St Joseph's College,Catholic,Secondary,0,1646,1927
68,68,Eltham College,Independent,Pri/Sec,0,1714,1972
221,221,Sholem Aleichem College,Independent,Primary,0,1729,1979
251,251,The King David School,Independent,Pri/Sec,0,1773,2007
277,277,Westbourne Grammar School,Independent,Pri/Sec,0,1775,2008
24,24,Billanook College,Independent,Pri/Sec,0,1816,2036
92,92,Goulburn Valley Grammar School,Independent,Pri/Sec,0,1840,2056
16,16,Beaconhills College,Independent,Pri/Sec,0,1855,2063
188,188,Overnewton Anglican Community College,Independent,Pri/Sec,0,1908,2098
128,128,Little Yarra Steiner School,Independent,Primary,0,1914,2102
3,3,Alia College,Independent,Secondary,0,1981,2151
287,287,Woodleigh School,Independent,Secondary,0,2064,2201
